customer_id,age,contract_type,tenure,monthly_usage,support_tickets,last_login_days,churn
001,34,monthly,12,450,1,1,0
002,28,yearly,24,120,0,2,0
003,45,monthly,3,20,5,15,1
004,31,monthly,8,300,3,0,1
005,52,yearly,60,500,0,1,0
006,38,monthly,50,182,0,4,0
007,54,yearly,52,178,2,3,0
008,35,monthly,28,281,2,10,0
009,75,monthly,8,258,3,6,0
010,21,monthly,55,199,3,7,0
011,65,monthly,51,444,2,6,0
012,58,yearly,50,147,0,5,0
013,51,monthly,41,216,3,8,1
014,33,yearly,37,764,0,4,0
015,41,monthly,6,499,2,1,0
016,65,yearly,40,389,0,1,0
017,46,monthly,17,14,3,16,1
018,40,monthly,68,130,3,6,0
019,74,monthly,37,183,1,6,0
020,70,yearly,25,207,0,6,0
021,44,monthly,10,6,6,12,1
022,50,monthly,16,304,3,3,0
023,66,monthly,37,522,1,10,0
024,53,monthly,1,420,3,3,0
025,27,monthly,62,244,2,6,0
026,60,monthly,51,527,2,0,0
027,34,yearly,8,333,0,5,0
028,23,monthly,21,117,0,10,0
029,63,monthly,32,173,0,4,0
030,43,monthly,35,277,0,0,1
031,20,monthly,61,302,2,10,1
032,41,monthly,6,321,0,9,0
033,27,monthly,50,97,1,4,0
034,66,monthly,13,553,2,8,0
035,32,monthly,38,243,3,3,0
036,66,monthly,63,227,3,8,0
037,37,monthly,42,76,3,1,0
038,69,yearly,11,786,0,1,0
039,42,monthly,66,346,2,6,0
040,68,monthly,63,245,2,4,0
041,45,yearly,20,461,0,2,0
042,72,yearly,3,757,0,5,0
043,54,yearly,3,546,0,1,0
044,35,monthly,49,330,0,8,1
045,64,monthly,19,109,2,7,0
046,39,monthly,43,193,3,1,1
047,60,yearly,57,498,0,6,0
048,68,monthly,39,89,0,6,0
049,45,monthly,59,60,2,0,1
050,34,monthly,45,50,3,3,1
051,27,monthly,70,583,3,9,1
052,41,monthly,21,197,3,8,0
053,34,monthly,27,489,1,7,0
054,61,monthly,8,107,3,0,0
055,64,monthly,12,46,8,29,1
056,68,monthly,39,30,3,26,1
057,39,monthly,26,548,1,6,1
058,35,monthly,19,128,3,1,0
059,52,yearly,47,362,0,5,0
060,46,monthly,29,132,1,5,0
061,57,monthly,20,544,0,2,0
062,73,monthly,15,243,1,1,0
063,37,yearly,57,198,0,0,0
064,32,yearly,54,557,0,1,0
065,32,monthly,54,480,3,8,0
066,23,monthly,43,365,0,3,0
067,56,monthly,65,362,0,0,0
068,20,yearly,5,412,2,0,0
069,62,monthly,50,253,1,9,1
070,45,yearly,67,167,0,5,0
071,67,monthly,35,494,3,5,1
072,64,yearly,72,343,2,4,0
073,51,monthly,34,371,0,5,0
074,47,monthly,49,513,3,10,0
075,24,yearly,69,457,0,5,0
076,65,yearly,10,685,0,2,0
077,67,monthly,36,346,3,1,0
078,38,monthly,49,503,3,6,0
079,47,yearly,57,100,0,6,0
080,71,yearly,48,254,0,7,0
081,58,monthly,18,449,3,4,0
082,58,monthly,60,562,3,2,0
083,43,monthly,47,343,3,6,0
084,70,monthly,8,38,4,25,1
085,59,monthly,10,196,3,10,0
086,40,yearly,68,499,1,4,0
087,29,yearly,36,545,1,7,0
088,74,monthly,44,107,3,4,1
089,52,monthly,37,213,3,6,0
090,56,monthly,39,569,0,2,1
091,25,monthly,7,430,2,6,1
092,58,monthly,3,377,3,5,1
093,65,monthly,16,178,1,2,0
094,46,yearly,24,580,0,5,0
095,42,monthly,33,535,2,0,0
096,34,monthly,22,372,0,0,0
097,65,monthly,29,584,3,2,0
098,59,monthly,12,108,0,3,0
099,73,yearly,12,203,2,1,0
100,27,monthly,54,178,1,7,0
